cpu,motherboard,gpu,ram,psu,price,type,rating
AMD Athlon 3000G,Asus Pro WS X570-ACE,GeForce GTX 1080 Ti,Kingston KVR13N9S8/4 4 GB,Cougar VTE X2,1233.41,Gaming,10.723279363715228
Intel Core i9-12900KS,Biostar B660MX-E,Radeon RX 580,Corsair Vengeance RGB Pro 16 GB,Silverstone TX700-G,1603.71,Multimedia,34.0469910395271
Intel Pentium Gold G5600 @ 3.90GHz,ASRock C246M WS,GeForce RTX 2080 Ti,G.Skill Ripjaws V 64 GB,Corsair RM750e (2022),1925.8700000000001,All-in-One,21.442257265547518
AMD PRO A12-9800E,Asus STRIX X370-F GAMING,GeForce RTX 2080,Kingston FURY Beast 8 GB,SeaSonic FOCUS,1380.27,Gaming,8.71365747281329
Intel Core i9-12900KF,Gigabyte Z790 AORUS ELITE AX,GeForce GTX 1650 SUPER,Kingston ValueRAM 48 GB,SeaSonic CORE GM,1798.82,Professional,19.254844842730236
AMD Ryzen 5 2600,MSI MAG A520M VECTOR WIFI,GeForce RTX 3060,OLOy WarHawk RGB 64 GB,Corsair CX650M,940.6200000000001,Office,41.56832727350045
Intel Core i5-12600K,Gigabyte B760I AORUS PRO DDR4,GeForce RTX 2070,TEAMGROUP Elite 32 GB,SeaSonic PRIME TX-750,1344.39,Gaming,20.936930503797257
AMD Ryzen 5 1500X,Asus PRO A520M-C II/CSM,Radeon RX 570X,G.Skill NT 8 GB,Corsair RM650 (2019),783.58,Professional,23.432833916128537
Intel Core i3-10100F @ 3.60GHz,ASRock B560M Steel Legend,Radeon R5 330,Corsair Dominator Platinum RGB 16 GB,Silverstone Essential,758.67,Office,29.029749429923417
Intel Celeron G4930T @ 3.00GHz,Asus Prime H310M-C R2.0/CSM,Radeon RX 590,Corsair Vengeance RGB Pro 16 GB,be quiet! Dark Power Pro 13,1217.3600000000001,Professional,21.220099231123083
Intel Core i5-12600KF,ASRock Z690 Phantom Gaming 4,GeForce RTX 3060,Corsair Vengeance RGB Pro SL 16 GB,EVGA SuperNOVA 850 P6,986.58,Office,30.612824099414134
AMD Ryzen 3 3100,Asus PRIME B550M-A/CSM,TITAN V,G.Skill Trident Z RGB 256 GB,be quiet! Straight Power 11,3591.83,Professional,28.706258369688985
AMD Ryzen 7 5700G,Asus ROG STRIX B550-E GAMING,GeForce GTX 1070 Ti,Neo Forza FAYE 16 GB,Athena Power AP-MFATX50P8,1315.98,Multimedia,37.19851365522272
Intel Core i5-11400T @ 1.30GHz,Asus PRIME B460M-A,Radeon VII,Corsair XMS2 2 GB,Corsair CX550F,2486.4399999999996,Professional,9.951376264860604
Intel Pentium Gold G6400T @ 3.40GHz,Gigabyte Z490I AORUS ULTRA,Radeon Vega Frontier Edition,TEAMGROUP T-Force Xtreem ARGB 16 GB,Enermax MAXREVO SLI,2794.6400000000003,Office,6.8846076775541745
Intel Core i7-12700K,Gigabyte B760M C,GeForce RTX 2080,Kingston Server Premier 32 GB,Cooler Master V850 Gold i,1422.0,All-in-One,30.524191279887482
Intel Core i3-9300T @ 3.20GHz,Supermicro X11SCL-IF,Radeon RX 550,TEAMGROUP T-Force Delta RGB 32 GB,Corsair HX850i,1088.6100000000001,All-in-One,20.661210167093817
AMD Ryzen 5 2400G,ASRock X570 Phantom Gaming-ITX/TB3,Radeon RX 6800 XT,Kingston KVR1333D3E9S/4G 4 GB,Corsair TX750M Gold,1613.21,All-in-One,20.514750094532022
Intel Core i7-9700T @ 2.00GHz,Asus PRIME Z390-A,GeForce RTX 3090,TEAMGROUP T-Force Zeus 16 GB,Corsair RM850,2575.9699999999993,Professional,14.742990019293705
Intel Core i9-11900K @ 3.50GHz,MSI MAG Z590 TORPEDO,GeForce RTX 3070 Ti,G.Skill Trident Z5 32 GB,Silverstone Strider Platinum,1579.72,Office,21.46836148178158
AMD Ryzen 7 1700,Asus Prime B450M-A II,Radeon Pro W5500,Corsair Vengeance RGB Pro 16 GB,Thermaltake Toughpower,887.6300000000001,Office,20.627964354517083
Intel Pentium Gold G5600F @ 3.90GHz,MSI Z270-A PRO,GeForce RTX 2080 Ti,Corsair Vengeance RGB Pro 32 GB,SeaSonic PRIME TX-750,1863.51,Professional,21.08816158754179
Intel Core i3-10320 @ 3.80GHz,Asus ROG MAXIMUS XII EXTREME,Radeon RX 5600 XT,G.Skill Ripjaws X 4 GB,Fractal Design Anode Bronze,1834.63,Professional,14.388732332949969
AMD Ryzen 5 PRO 4650G,Asus PRIME A520M-K,Radeon R5 330,G.Skill Ripjaws V 32 GB,EVGA SuperNOVA 850 GM,928.6800000000001,Office,30.994529870353617
Intel Core i5-10600K @ 4.10GHz,MSI MAG B560M MORTAR,Radeon RX 560,Corsair Vengeance RGB 32 GB,Corsair RM650x (2021),806.85,Multimedia,38.057879407572656
AMD Ryzen 5 4500,Asus PRIME B450M-K II,GeForce RTX 3090,G.Skill Trident Z5 Neo RGB 32 GB,MSI MEG Ai1000P PCIE5,2388.21,Gaming,10.025458397712093
Intel Core i3-7100T @ 3.40GHz,Supermicro X11SCL-LN4F,Radeon Pro WX 4100,G.Skill Value 8 GB,SeaSonic FOCUS Plus Platinum,1353.5,Professional,13.360177318064276
AMD Ryzen 5 1600,ASRock A520M-HDV,Radeon RX 6800,G.Skill Ripjaws 32 GB,EVGA SuperNOVA 850 P6,1253.9099999999999,Gaming,15.404853617883262
AMD A6-9500E,ASRock X470 Master SLI,GeForce GTX 1660,G.Skill Trident Z Royal 32 GB,SeaSonic PRIME,1332.52,Multimedia,26.986836970552037
Intel Core i5-10600KF @ 4.10GHz,MSI MEG Z590 GODLIKE,Radeon Pro WX 8200,V-Color Prism Pro 32 GB,SeaSonic Prime Fanless PX-500,2588.35,Gaming,7.977862344736995
Intel Core i7-9700 @ 3.00GHz,ASRock H310CM-HDV/M.2,GeForce GTX 1060 5GB,Corsair Dominator Platinum RGB 32 GB,Gigabyte AORUS P GM,1313.08,Professional,20.98272763274134
AMD PRO A6-9500E,Gigabyte B450M K,GeForce GTX 1080 Ti,G.Skill Trident Z RGB 16 GB,FSP Group Hyper M85+,927.03,All-in-One,31.126500760493194
Intel Core i5-12400F,Asus PRIME B760M-A AX D4,GeForce RTX 2080 Ti,G.Skill Trident Z5 RGB 32 GB,Corsair RM850,1659.54,All-in-One,24.47967509068778
Intel Core i7-12700,EVGA Z690 DARK K|NGP|N,GeForce GT 1030,Kingston FURY Beast RGB 64 GB,Super Flower Leadex V Pro,1751.96,Professional,16.811171487933514
Intel Core i9-9900 @ 3.10GHz,Asus STRIX Z270-E GAMING,GeForce GT 1030,Corsair Vengeance 64 GB,Cooler Master V550 V2,1519.98,All-in-One,20.65132435953105
AMD PRO A6-9500,ASRock X470 Master SLI,GeForce RTX 3080 Ti,TEAMGROUP T-Force Vulcan Z 32 GB,EVGA 710 BP,1875.57,Professional,23.280122842655835
Intel Core i3-7300 @ 4.00GHz,ASRock Z270 Killer SLI/ac,GeForce RTX 3080,Corsair XMS3 8 GB,Thermaltake Toughpower GF3 TT Premium,3221.83,Gaming,5.256577783433639
Intel Core i9-12900KS,ASRock B760M-ITX/D4 WiFi,GeForce GTX 1070 Ti,Timetec PINNACLE Konduit RGB 64 GB,Antec Earthwatts Green,1614.26,Professional,27.25087656263551
AMD Ryzen 5 5600G,Gigabyte B450M K,Radeon RX 570X,G.Skill Trident Z Neo 32 GB,FSP Group Hydro PTM PRO,1076.69,Professional,23.74081676248502
Intel Core i3-9100 @ 3.60GHz,Asus PRIME Z270-A,GeForce GT 1030,TEAMGROUP T-Force Vulcan 32 GB,SeaSonic PRIME PX-1600 ATX 3.0,1312.14,Gaming,10.29463319462862
Intel Celeron G5900T @ 3.20GHz,Asus ROG MAXIMUS XII HERO (WI-FI),GeForce GTX 1650 SUPER,Corsair Vengeance RGB Pro 16 GB,Corsair RM850x White,1429.04,Gaming,8.0662542685999
Intel Pentium Gold G6605 @ 4.30GHz,Asus ROG STRIX Z490-I GAMING,GeForce RTX 3090,Patriot Viper Steel 32 GB,be quiet! Dark Power 13,2429.1,All-in-One,15.59161829484171
Intel Core i9-12900,Biostar Z690 VALKYRIE,Radeon RX 6600 XT,Kingston Fury Renegade RGB 32 GB,Corsair VS550 (2018),2010.51,All-in-One,22.686184102541148
AMD Ryzen 5 1400,Asus TUF GAMING A520M-PLUS,GeForce GTX 1060 5GB,Mushkin Silverline 32 GB,Cooler Master G700,922.64,Professional,29.862134743778718
AMD Ryzen 7 1700,Gigabyte X570S AORUS ELITE AX,Radeon RX Vega 64,Kingston FURY Renegade 32 GB,EVGA 500 BT,1376.3600000000001,All-in-One,23.556918248132757
Intel Core i5-12400F,ASRock H670 Steel Legend,GeForce GTX 1660 Ti,G.Skill Trident Z5 RGB 32 GB,Silverstone Extreme 850R Platinum,1061.71,Multimedia,38.720083638658394
Intel Core i5-7400 @ 3.00GHz,Gigabyte Z370N WIFI,GeForce RTX 3080,OLOy Blade 32 GB,Corsair HX750,1842.46,Multimedia,25.004342020993676
Intel Core i7-12700T,Asus PRIME B760M-A AX,TITAN V,Patriot Signature 8 GB,EVGA 750 BP,2613.189999999999,Gaming,8.853623349239822
AMD Ryzen 9 3950X,ASRock X570 Pro4,Radeon RX 5500 XT,Gigabyte AORUS 32 GB,Super Flower Leadex V Platinum Pro,1584.97,Gaming,16.35204451819277
Intel Core i9-12900,MSI MPG B760I EDGE WIFI,GeForce RTX 3080,OLOy WarHawk RGB 64 GB,EVGA 610 BP,1971.94,Gaming,19.18222663975577
Intel Core i9-9900X @ 3.50GHz,Asus WS X299 SAGE,Radeon RX Vega 64,Patriot Viper Elite II 16 GB,SeaSonic CORE GM,2154.5,Multimedia,20.85588303550708
Intel Core i3-8300 @ 3.70GHz,Gigabyte GA-Z270MX-Gaming 5,GeForce GTX 1660 Ti,Lexar Hades RGB 16 GB,MSI A1000G PCIE5,2900.3199999999997,Multimedia,11.291167871131464
Intel Core i9-10900K @ 3.70GHz,MSI MEG Z490 UNIFY,GeForce RTX 3070,PROXMEM SPEAR 32 GB,Corsair RM850x White,1974.94,Professional,20.267197990825036
AMD Ryzen 7 5700X,ASRock X570 PG Velocita,Radeon RX 560,Corsair Vengeance LPX 16 GB,EVGA 1000 GQ,1090.87,All-in-One,24.059512132518087
Intel Celeron G5900T @ 3.20GHz,Gigabyte H470 AORUS PRO AX,NVIDIA TITAN Xp,Crucial Ballistix 16 GB,Corsair TX550M,2228.56,Multimedia,15.886491725598596
AMD PRO A12-9800,ASRock X570 Pro4,Radeon RX Vega 64,Kingston FURY Beast RGB 32 GB,Asus ROG-STRIX-850G,1431.8000000000002,Office,16.377985752200026
AMD Athlon 200GE,Asus PRIME A520M-A II/CSM,GeForce GTX 1660 Ti,OLOy MD4U0836180BHKDA 16 GB,FSP Group FSP500-50FSPT,754.85,All-in-One,31.87361727495529
Intel Core i5-11600K @ 3.90GHz,Asus PRO Q570M-C/CSM,Radeon Pro W5500,G.Skill F4-4133C19Q-32GTZSWF 32 GB,EVGA GE,1504.8500000000001,Office,21.958334717745952
AMD Ryzen 3 1300X,Gigabyte X570 AORUS PRO WIFI,GeForce RTX 2070,Corsair VS1GB533D2 1 GB,Silverstone SX650-G,1335.66,Multimedia,27.61368911249869
Intel Core i3-12100T,NZXT N5 Z690,Radeon Vega Frontier Edition,Corsair Vengeance LPX 32 GB,EVGA SuperNOVA 1600 T2,2621.95,Office,12.689791948740442
Intel Core i5-12600KF,Asus PRIME Z690M-PLUS D4,GeForce RTX 2060 SUPER,G.Skill Trident Z Royal 16 GB,EVGA 600 BQ,1392.27,Gaming,19.11339036250153
Intel Core i5-9500F @ 3.00GHz,MSI Z270-A PRO,GeForce RTX 2080 Ti,Samsung m378b5673eh1-cf8 2 GB,Corsair RM850x White,2042.0800000000002,Professional,14.836833032985975
Intel Core i5-12400F,Gigabyte H610M S2H,Radeon RX 6700 XT,G.Skill Trident Z5 64 GB,SeaSonic PRIME PX-1600 ATX 3.0,1531.94,All-in-One,31.2965259736021
AMD A10-9700E,ASRock X570D4U,GeForce GTX 1650,Kingston KVR16N11H/8 8 GB,SeaSonic PRIME PX,1100.96,Multimedia,23.573517657317254
Intel Core i5-10600T @ 2.40GHz,ASRock H510M-HDV/M.2,GeForce GTX 1660,Patriot Signature Line 4 GB,Corsair AX1600i,1378.91,Multimedia,27.505783553676455
Intel Core i9-12900KF,MSI PRO Z690-A WIFI,GeForce RTX 2060,Kingston FURY Beast RGB 16 GB,Gigabyte UD1000GM,1389.52,Office,22.815072830905635
Intel Core i5-9600 @ 3.10GHz,MSI MPG Z390 GAMING EDGE AC,GeForce RTX 3070 Ti,Kingston KVR21L15Q4/32 32 GB,Asus ROG LOKI,1764.3700000000001,Multimedia,27.49111580904232
Intel Core i9-12900KS,Asus PRIME B660-PLUS D4,GeForce RTX 3080,Mushkin Essentials 8 GB,Apevia ATX-JP1000W,2188.2000000000003,Multimedia,28.80975230783292
Intel Core i7-11700T @ 1.40GHz,NZXT N7 Z490,GeForce RTX 2070,G.Skill Trident Z5 RGB 64 GB,SeaSonic PRIME,1591.6100000000001,All-in-One,26.041555406161056
Intel Core i3-10105T @ 3.00GHz,MSI MAG Z590 TOMAHAWK WIFI,Radeon Pro WX 4100,Corsair Vengeance 32 GB,Deepcool PQ650M,1054.3,Professional,23.980840368016693
Intel Core i5-12400,ASRock B760M PG Riptide,Radeon RX 6700 XT,TEAMGROUP T-Force Delta RGB 32 GB,Asus ROG LOKI,1260.65,Office,26.96386784595248
Intel Core i9-10900KF @ 3.70GHz,MSI Z590-A PRO,GeForce RTX 2080 Ti,Crucial CT51264AC800 4 GB,EVGA GE,1594.53,Professional,19.377496817243955
Intel Core i5-12400,ASRock Z790 Steel Legend WiFi,Radeon Pro W5500,Kingston Blu Red 8 GB,Super Flower Leadex V Pro,1242.95,Professional,20.076833340037815
AMD Ryzen 7 PRO 4750G,Asus TUF GAMING A520M-PLUS,TITAN V,Mushkin 971699A 2 GB,SeaSonic PRIME,2703.15,Multimedia,16.38273865675231
Intel Core i5-10600KF @ 4.10GHz,MSI Z590-A PRO,GeForce GTX 1080 Ti,G.Skill Ripjaws V 16 GB,Phanteks Revolt X,1155.1,Gaming,17.57570773093239
AMD Ryzen 3 3200G,NZXT N7 B550,GeForce RTX 3090,Corsair Mac Memory 4 GB,EVGA 850 GQ,2314.96,Gaming,7.399220720876386
Intel Core i7-9700F @ 3.00GHz,ASRock Z370 Extreme4,Radeon RX 6900 XT,Silicon Power SP008GBLFU266B02 8 GB,ADATA XPG PYLON,2997.06,Office,6.665198561256698
Intel Core i9-10900 @ 2.80GHz,Gigabyte Z590 AORUS TACHYON,GeForce RTX 2080 SUPER,Kingston FURY 64 GB,Montech TITAN GOLD 1000W,1912.15,Gaming,14.41335669272808
Intel Celeron G5900 @ 3.40GHz,EVGA Z590 DARK,Radeon RX 6800,Kingston FURY Renegade 16 GB,be quiet! SFX L Power,1795.76,All-in-One,18.26045796765715
AMD Ryzen 5 1500X,Asus PRIME A520M-A II/CSM,Radeon VII,Kingston Server Premier 16 GB,NZXT C1000 (2022),2372.41,Multimedia,15.874785555616445
AMD Ryzen 5 5600X,ASRock A520M Phantom Gaming 4,Radeon RX 5500 XT,Patriot Signature Line 64 GB,Corsair SF750,1083.27,Gaming,23.921829276173067
AMD Ryzen 5 PRO 4650G,MSI MEG X570S ACE MAX,GeForce GT 1030,G.Skill Trident Z Royal 16 GB,Super Flower Leadex Titanium,1485.94,All-in-One,14.336110475523911
Intel Core i9-10900K @ 3.70GHz,Asus PRIME H510M-A WIFI,GeForce RTX 2060 SUPER,TEAMGROUP T-Create Expert 64 GB,Antec NeoECO,1266.8700000000001,Gaming,22.09034865455808
Intel Core i7-10700T @ 2.00GHz,Asus ROG Maximus XIII Apex,Radeon RX Vega 64,Mushkin Redline 32 GB,Cooler Master V SFX Platinum,2414.1499999999996,All-in-One,13.865335625375394
AMD Ryzen 7 PRO 3700,Asus TUF GAMING X570-PLUS (WI-FI),Radeon Vega Frontier Edition,GeIL Polaris RGB SYNC 32 GB,Super Flower Leadex V Pro,2694.95,Office,10.700755116050392
Intel Pentium Gold G5500T @ 3.20GHz,Gigabyte Z390 UD,GeForce RTX 3090,G.Skill TridentZ RGB 32 GB,In Win PB,2460.6099999999997,Multimedia,18.197520127122953
Intel Core i3-7101TE @ 3.40GHz,Asus Prime H310M-C R2.0/CSM,GeForce RTX 3080 Ti,Corsair ValueSelect 8 GB,Gigabyte UD1000GM PG5,1783.9099999999999,Multimedia,24.66239888783627
AMD Ryzen 7 PRO 4750G,Gigabyte B550M AORUS PRO,Radeon RX 5500 XT,Kingston FURY Beast 64 GB,Deepcool PM750D,1352.57,Multimedia,36.704200152302654
AMD Ryzen 7 3800X,Asus ROG Strix X570-F Gaming,GeForce GTX 1660 Ti,Corsair Vengeance RGB 48 GB,Corsair G700,1531.6100000000001,Gaming,15.360111255476264
AMD Ryzen 7 5700X,Asus PRIME A520M-K,GeForce RTX 2060 SUPER,Kingston FURY Beast 8 GB,Cooler Master V850 SFX GOLD,1113.0700000000002,Professional,25.404511845616174
Intel Core i5-12500,MSI PRO Z790-A WIFI,Radeon RX 570X,Kingston FURY Beast 16 GB,FSP Group Hydro GE,851.94,Gaming,22.943634528253163
Intel Core i3-10320 @ 3.80GHz,ASRock B460M Steel Legend,GeForce RTX 3060,G.Skill Ripjaws V 16 GB,Cougar VTE,774.1600000000001,Multimedia,57.73677276015293
Intel Core i5-12600KF,Gigabyte B760 GAMING X AX DDR4,GeForce GTX 1660 SUPER,ADATA XPG GAMMIX D45 32 GB,Cooler Master V SFX Platinum,1204.3200000000002,Professional,26.924737611266103
Intel Core i5-10600T @ 2.40GHz,ASRock Z590 Steel Legend,GeForce RTX 2080 SUPER,Corsair Vengeance LPX 32 GB,Silverstone TX700-G,1259.23,Professional,30.208540139609124
Intel Core i7-10700F @ 2.90GHz,MSI MPG Z490 GAMING CARBON WIFI,Radeon Pro WX 8200,Kingston FURY Impact 32 GB,Corsair RM750,2235.3499999999995,Multimedia,19.972934887154143
AMD Ryzen 5 2400G,ASRock X570 Phantom Gaming 4,GeForce RTX 2070 SUPER,Kingston ValueRAM 16 GB,Corsair RM1000x (2021),1214.58,Gaming,13.291096510727987
Intel Celeron G5900T @ 3.20GHz,Asus TUF GAMING B560M-PLUS WIFI,Radeon VII,Crucial CT2K102464BD186D 16 GB,Corsair RM650x,2409.6,Multimedia,14.294488711819392
Intel Core i3-8100 @ 3.60GHz,Supermicro C9Z390-CG-IW,GeForce RTX 2080 SUPER,G.Skill Trident Z Royal 32 GB,Thermaltake Toughpower GF1 ARGB,1885.5900000000001,Gaming,9.34699483981141
Intel Pentium Gold G5600 @ 3.90GHz,Asus ROG MAXIMUS XI HERO (WI-FI),Radeon RX 6800 XT,Corsair Vengeance 16 GB,EVGA 600 GD,1631.96,Office,12.344665310424272
AMD Ryzen 5 3600X,ASRock B450M/AC,GeForce GTX 1660 Ti,Kingston Renegade Silver 16 GB,Cooler Master V750 Gold i,880.27,Multimedia,44.102945687118726
Intel Core i3-10320 @ 3.80GHz,Asus ROG STRIX Z590-A GAMING WIFI,GeForce GT 1030,G.Skill Ripjaws S5 64 GB,Corsair RM650,907.12,Gaming,20.66099303289532
Intel Core i7-10700K @ 3.80GHz,ASRock H510M-ITX/ac,Radeon RX 6700 XT,TEAMGROUP Elite 32 GB,Corsair CX650M,1364.9,Professional,28.849366253938015
AMD Ryzen 3 1200,Asus TUF GAMING X570-PLUS,Radeon Pro W5500,Timetec PINNACLE Konduit 32 GB,Silverstone Strider Platinum S,1153.49,Gaming,11.836166763474324
AMD Ryzen 3 2200G,MSI MAG B550 TOMAHAWK,GeForce RTX 2080 SUPER,Corsair Vengeance RGB Pro 16 GB,Antec Signature Platinum,1327.96,Professional,25.030497906563447
Intel Pentium Gold G6400T @ 3.40GHz,MSI MPG Z590M GAMING EDGE WIFI,GeForce RTX 3070,TEAMGROUP Elite 32 GB,Antec Signature Platinum,1371.96,Gaming,12.632219598239015
AMD A6-9500E,MSI MEG X570S ACE MAX,Radeon Pro WX 8200,Kingston Server Premier 8 GB,FSP Group Dagger Pro,2459.8199999999997,All-in-One,9.848769422152841
Intel Core i7-12700T,Asus TUF GAMING Z790-PLUS D4,GeForce GTX 1650,Samsung M471A4G43MB1 32 GB,be quiet! Pure Power 12 M,1141.28,Gaming,19.48119655124071
AMD Ryzen 7 1800X,MSI A320M-A PRO MAX,GeForce RTX 3090,Mushkin Enhanced Redline Stiletto 32 GB,Fractal Design Ion Gold,2362.29,All-in-One,16.63309754517862
Intel Core i3-10305 @ 3.80GHz,MSI Z590 PRO WIFI,GeForce GT 1030,Kingston FURY Beast RGB 32 GB,EVGA SuperNOVA 850 P6,865.7600000000001,Gaming,17.75572907041212
AMD Ryzen 7 PRO 4750G,Gigabyte B550 AORUS ELITE,GeForce RTX 3070,Mushkin Essentials 4 GB,SeaSonic FOCUS Plus 650 Gold,1387.69,Multimedia,35.63115681456233
AMD Ryzen 3 3300X,MSI A320M-A PRO,GeForce GTX 1070 Ti,Mushkin Essentials 32 GB,Enermax MaxTytan,1164.82,Professional,29.523874933466114
AMD Ryzen 5 2600X,Asus PRIME B550-PLUS,GeForce GTX 1650 SUPER,G.Skill Trident Z RGB 32 GB,EVGA SuperNOVA 1600 G2,1599.63,Multimedia,25.422441439582904
Intel Core i9-7960X @ 2.80GHz,ASRock X299 Steel Legend,GeForce RTX 2060,Kingston KVR16N11H/4 4 GB,Thermaltake Toughpower GF1 Snow - TT Premium,2000.1499999999999,Multimedia,21.913106517011226
Intel Pentium Gold G6405T @ 3.50GHz,ASRock H510M-HDV/M.2,GeForce RTX 3080,Corsair Vengeance RGB 64 GB,Super Flower Leadex VI Platinum PRO,1643.46,Professional,31.44980711425894
Intel Core i5-7600K @ 3.80GHz,Supermicro MBD-X11SAE-F-O,GeForce GTX 1660 Ti,Kingston FURY 32 GB,Silverstone FX350-G,1151.01,Office,24.496746335826796
AMD Ryzen 7 4700G,ASRock B550 Phantom Gaming-ITX/ax,GeForce RTX 3090,GeIL Orion AMD Edition 32 GB,SeaSonic FOCUS GX,2464.2099999999996,All-in-One,16.72040938069402
Intel Core i3-10100F @ 3.60GHz,Asus PRIME B460M-A,Radeon RX 550,TEAMGROUP T-Create Expert 48 GB,SeaSonic VERTEX GX-1000,884.9000000000001,All-in-One,30.288620183071536
Intel Celeron G5925 @ 3.60GHz,Asus PRIME H410M-D,Radeon RX 560,Corsair Vengeance RGB RS 16 GB,EVGA SuperNOVA 750 GM,628.8299999999999,Gaming,16.548033649794068
AMD Ryzen 9 5900X,ASRock B450 Pro4 R2.0,GeForce RTX 3070,VisionTek 900642 8 GB,Thermaltake Toughpower GX1,1352.51,Office,17.866041655884246
Intel Pentium Gold G6605 @ 4.30GHz,Asus TUF GAMING H570-PRO WIFI,Radeon R5 330,G.Skill Ripjaws V 16 GB,PC Power & Cooling Silencer,1052.49,Office,21.233455899818523
AMD Ryzen 3 2300X,Asus PRIME A320M-E,Radeon Pro WX 8200,Kingston FURY 32 GB,be quiet! Pure Power 12 M,2253.15,Office,11.976122317644187
Intel Core i5-10600K @ 4.10GHz,Biostar Z590GTA,GeForce RTX 2080 SUPER,G.Skill Trident Z RGB 16 GB,Thermaltake Smart RGB 230V,1357.94,Gaming,15.187637156280834
Intel Pentium Gold G6400T @ 3.40GHz,MSI Z590 PRO WIFI,GeForce RTX 2060,Mushkin Proline 16 GB,Silverstone Strider Platinum,911.7300000000001,Professional,29.412764743948316
Intel Celeron G5925 @ 3.60GHz,Asus PRIME H510M-K,GeForce RTX 3060,TEAMGROUP Elite 8 GB,SeaSonic SSP-300SUG,615.03,Multimedia,65.54070533144726
AMD Ryzen 7 5800X,Gigabyte A520M S2H,GeForce GTX 1650 SUPER,Kingston KVR21L15Q4/32 32 GB,Super Flower Leadex III Super Pro,1139.97,Multimedia,41.95198119248752
AMD Ryzen 5 2400G,Asus PRIME X570-P,Radeon RX 570X,G.Skill Trident Z 32 GB,Thermaltake Smart,905.94,Office,28.421308254409784
Intel Core i7-12700T,MSI PRO B760-P WIFI DDR4,Radeon RX 6800 XT,Corsair Vengeance RGB Pro 64 GB,EVGA SuperNOVA 850 GT,1634.96,Multimedia,37.226598815873174
AMD Ryzen 3 3300X,Asus TUF GAMING B450M-PRO II,Radeon RX 6700 XT,G.Skill Ripjaws 4 GB,GAMDIAS KRATOS P1 G,1045.12,Professional,29.63918018983466
AMD Ryzen 9 5900X,MSI A520M-A PRO,GeForce GTX 1650,Crucial CT32G4RFD4213 32 GB,NZXT C1000 (2022),967.67,Gaming,28.792046875484417
AMD Ryzen 7 1700X,MSI B450M PRO-M2 MAX,GeForce RTX 3080 Ti,Kingston ValueRAM 64 GB,Gigabyte UD750GM,1676.26,Multimedia,33.042606755515266
AMD Ryzen 7 5700X,MSI B450 Gaming Plus MAX,GeForce GT 1030,G.Skill Trident Z Royal 16 GB,FSP Group FSP500-50FSPT,791.96,Gaming,26.104853780493958
Intel Core i9-10900F @ 2.80GHz,Asus TUF GAMING B560M-PLUS,GeForce RTX 3060 Ti,Crucial CT2KIT12864AA800 2 GB,Lian Li SP850,1278.2800000000002,Professional,23.408799324091746
Intel Core i9-11900F @ 2.50GHz,Asus ROG STRIX Z490-E GAMING,Radeon RX 550,Corsair Vengeance RGB RS 8 GB,Corsair RM850x,1126.3600000000001,All-in-One,20.990091977698068
Intel Core i5-11600 @ 2.80GHz,Asus PRIME Z590-A,GeForce RTX 2060,Kingston FURY Beast RGB 16 GB,SeaSonic PRIME,1248.82,Office,20.98941400682244
AMD Ryzen 5 PRO 4650G,Gigabyte X570S AORUS MASTER,Radeon RX 5700,G.Skill Trident Z 32 GB,Thermaltake Toughpower GF1 ARGB,1845.1999999999998,Professional,19.230706698460875
Intel Pentium Gold G5500T @ 3.20GHz,ASRock Z270 Killer SLI/ac,GeForce RTX 2070 SUPER,Mushkin Essentials 32 GB,Enermax Revolution D.F.,2893.7999999999997,Gaming,5.36063307761421
Intel Celeron G5920 @ 3.50GHz,ASRock Z590 PG Velocita,Radeon RX 570X,Corsair Vengeance 32 GB,Silverstone HELA 850R,785.0400000000001,All-in-One,33.86196881687557
Intel Core i9-12900,Asus PRIME H610I-PLUS D4-CSM,GeForce RTX 3060,Samsung M393B2G70DB0-YK0 16 GB,Asus ROG STRIX G,1176.97,Multimedia,49.94222452568885
AMD Ryzen 3 3300X,ASRock A520M-ITX/ac,GeForce GTX 1650 SUPER,Kingston ValueRAM 2 GB,EVGA SuperNOVA 1600 P+,1182.5900000000001,Office,14.31941754961567
Intel Core i9-12900KF,ASRock H670M Pro RS,GeForce RTX 3080,Kingston Server Premier 32 GB,Deepcool PX-G,2046.91,Multimedia,31.218519622259898
AMD Athlon 200GE,Asus ROG Crosshair VIII Hero (WI-FI),Radeon RX 5500 XT,Corsair Vengeance LPX 32 GB,Super Flower Leadex Platinum,1734.86,All-in-One,16.81899403986489
AMD Athlon 3000G,Asus ROG Crosshair VIII Impact,Radeon RX 6800,Kingston KVR533D2SO/1GR 1 GB,Thermaltake Toughpower GF1 PE,1424.65,Professional,21.923630365352892
Intel Core i5-11600K @ 3.90GHz,Gigabyte Z590I AORUS ULTRA,Radeon RX 590,G.Skill Flare X 32 GB,Corsair TX850 V2,1674.78,Gaming,13.229080834497664
Intel Core i5-8400 @ 2.80GHz,MSI MPG Z390 GAMING EDGE AC,GeForce RTX 2060 SUPER,Kingston KVR21R15S4K4/32 32 GB,be quiet! SFX L Power,1709.0,Multimedia,25.19075482738444
Intel Core i7-11700 @ 2.50GHz,Asus ROG STRIX Z490-E GAMING,Radeon RX Vega 64,Corsair Dominator Platinum RGB 64 GB,SeaSonic SS-850HT Silver,1900.74,Office,23.3993076380778
